0x15602108, 36872748180224976, 2455375, 2455385, 10, 640x360 
0x15602108, 36872748185662320, 2455468, 2455472, 4, 640x360 
0x15602108, 36872748186304128, 2455539, 2455543, 4, 640x360 
0x15602108, 36872748186944040, 2455610, 2455613, 3, 640x360 
0x15602108, 36872748187586264, 2455669, 2455673, 4, 640x360 
0x15602108, 36872748188225376, 2455738, 2455742, 4, 640x360 
0x15602108, 36872748188864184, 2455799, 2455804, 5, 640x360 
0x15602108, 36872748189667088, 2455879, 2455882, 3, 640x360 
0x15602108, 36872748190304952, 2455949, 2455953, 4, 640x360 
0x15602108, 36872748190944912, 2456004, 2456007, 3, 640x360 
0x15602108, 36872748191585552, 2456069, 2456073, 4, 640x360 
0x15602108, 36872748192224576, 2456139, 2456143, 4, 640x360 
0x15602108, 36872748192864392, 2456199, 2456203, 4, 640x360 
0x15602108, 36872748193667216, 2456279, 2456283, 4, 640x360 
0x15602108, 36872748194303904, 2456339, 2456343, 4, 640x360 
0x15602108, 36872748194944104, 2456408, 2456412, 4, 640x360 
0x15602108, 36872748195584992, 2456469, 2456473, 4, 640x360 
0x15602108, 36872748196225440, 2456538, 2456545, 7, 640x360 
0x15602108, 36872748196868936, 2456599, 2456603, 4, 640x360 
0x15602108, 36872748197667112, 2456674, 2456680, 6, 640x360 
0x15602108, 36872748198304960, 2456738, 2456742, 4, 640x360 
0x15602108, 36872748198946736, 2456809, 2456813, 4, 640x360 
0x15602108, 36872748199587008, 2456869, 2456873, 4, 640x360 
0x15602108, 36872748200227128, 2456939, 2456943, 4, 640x360 
0x15602108, 36872748200865280, 2456999, 2457003, 4, 640x360 
0x15602108, 36872748201664456, 2457079, 2457082, 3, 640x360 
0x15602108, 36872748202304784, 2457139, 2457142, 3, 640x360 
0x15602108, 36872748202943136, 2457199, 2457202, 3, 640x360 
0x15602108, 36872748203582760, 2457268, 2457274, 6, 640x360 
0x15602108, 36872748204223048, 2457329, 2457334, 5, 640x360 
0x15602108, 36872748204864248, 2457399, 2457404, 5, 640x360 
0x15602108, 36872748205663480, 2457479, 2457483, 4, 640x360 
0x15602108, 36872748206304176, 2457539, 2457545, 6, 640x360 
0x15602108, 36872748206949136, 2457609, 2457612, 3, 640x360 
0x15602108, 36872748207585256, 2457670, 2457673, 3, 640x360 
0x15602108, 36872748208225352, 2457739, 2457743, 4, 640x360 
0x15602108, 36872748208867832, 2457799, 2457802, 3, 640x360 
0x15602108, 36872748209667128, 2457878, 2457883, 5, 640x360 
0x15602108, 36872748210306936, 2457939, 2457943, 4, 640x360 
0x15602108, 36872748210944192, 2458009, 2458013, 4, 640x360 
0x15602108, 36872748211585776, 2458069, 2458072, 3, 640x360 
0x15602108, 36872748212224856, 2458139, 2458146, 7, 640x360 
0x15602108, 36872748212868888, 2458199, 2458203, 4, 640x360 
